site,name,lon,lat,elev,MAT,MAP,IGBP,tier1,tier2,url
IT-Tor,Torgnon,7.57806,45.84444,2160,2.9,920,GRA,2008-2014,2008-2014,http://sites.fluxdata.org/IT-Tor/
JP-MBF,Moshiri Birch Forest Site,142.3186,44.3869,,,,DBF,2003-2005,2003-2005,http://sites.fluxdata.org/JP-MBF/
JP-SMF,Seto Mixed Forest Site,137.0788,35.2617,,,,MF,2002-2006,2002-2006,http://sites.fluxdata.org/JP-SMF/
MY-PSO,Pasoh Forest Reserve (PSO),102.3062,2.9730,,,,EBF,,2003-2009,http://sites.fluxdata.org/MY-PSO/
NL-Hor,Horstermeer,5.0713,52.24035,2.2,10,800,GRA,2004-2011,2004-2011,http://sites.fluxdata.org/NL-Hor/
NL-Loo,Loobos,5.74356,52.16658,25,9.8,786,ENF,1996-2013,1996-2014,http://sites.fluxdata.org/NL-Loo/
NO-Adv,Adventdalen,15.9230,78.1860,17,,,WET,2011-2014,2011-2014,http://sites.fluxdata.org/NO-Adv/
NO-Blv,"Bayelva, Spitsbergen",11.83109,78.92163,25,-4.5,400,SNO,2008-2009,2008-2009,http://sites.fluxdata.org/NO-Blv/
PA-SPn,Sardinilla Plantation,-79.6346,9.31814,78,26.5,2350,DBF,,2007-2009,http://sites.fluxdata.org/PA-SPn/
PA-SPs,Sardinilla-Pasture,-79.63143,9.31378,68,26.5,2350,GRA,,2007-2009,http://sites.fluxdata.org/PA-SPs/
RU-Che,Cherski,161.34143,68.61304,6,-11,197,WET,2002-2005,2002-2005,http://sites.fluxdata.org/RU-Che/
RU-Cok,Chokurdakh,147.49428,70.82914,48,-14.3,232,OSH,2003-2014,2003-2014,http://sites.fluxdata.org/RU-Cok/
RU-Fyo,Fyodorovskoye,32.92208,56.46153,265,3.9,711,ENF,1998-2014,1998-2014,http://sites.fluxdata.org/RU-Fyo/
RU-Ha1,Hakasia steppe,90.00215,54.72517,446,-0.07,591.87,GRA,2002-2004,2002-2004,http://sites.fluxdata.org/RU-Ha1/
RU-Sam,Samoylov,126.4958,72.3738,,,,GRA,,2002-2014,http://sites.fluxdata.org/RU-Sam/
RU-SkP,Yakutsk Spasskaya Pad larch,129.1680,62.2550,246,,,DNF,,2012-2014,http://sites.fluxdata.org/RU-SkP/
RU-Tks,Tiksi,128.88782,71.59427,7,-12.7,323,GRA,,2010-2014,http://sites.fluxdata.org/RU-Tks/
RU-Vrk,Seida/Vorkuta,62.94047,67.05468,100,-5.6,501,CSH,,2008-2008,http://sites.fluxdata.org/RU-Vrk/
SD-Dem,Demokeya,30.4783,13.2829,500,26,320,SAV,2005-2009,2005-2009,http://sites.fluxdata.org/SD-Dem/
SE-St1,Stordalen grassland,19.05033,68.35415,351,-0.7,303.3,WET,,2012-2014,http://sites.fluxdata.org/SE-St1/
SN-Dhr,Dahra,-15.43222,15.40278,40,29,404,SAV,2010-2013,2010-2013,http://sites.fluxdata.org/SN-Dhr/
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,-99.4200,36.4267,611,,,GRA,2009-2012,2009-2012,http://sites.fluxdata.org/US-AR1/
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,-99.5975,36.6358,646,,,GRA,2009-2012,2009-2012,http://sites.fluxdata.org/US-AR2/
US-ARb,ARM Southern Great Plains burn site- Lamont,-98.0402,35.5497,424,,,GRA,2005-2006,2005-2006,http://sites.fluxdata.org/US-ARb/
US-ARc,ARM Southern Great Plains control site- Lamont,-98.0400,35.54649,424,,,GRA,2005-2006,2005-2006,http://sites.fluxdata.org/US-ARc/
US-ARM,ARM Southern Great Plains site- Lamont,-97.4888,36.6058,314,14.76,843,CRO,2003-2012,2003-2012,http://sites.fluxdata.org/US-ARM/
US-Atq,Atqasuk,-157.4089,70.4696,15.00,-9.7,93,WET,,2003-2008,http://sites.fluxdata.org/US-Atq/
US-Blo,Blodgett Forest,-120.6328,38.8953,1315,11.09,1226,ENF,1997-2007,1997-2007,http://sites.fluxdata.org/US-Blo/
US-Cop,Corral Pocket,-109.39,38.09,1520,,,GRA,2001-2007,2001-2007,http://sites.fluxdata.org/US-Cop/
US-CRT,Curtice Walter-Berger cropland,-83.347086,41.628495,180,10.1,849,CRO,,2011-2013,http://sites.fluxdata.org/US-CRT/
US-GBT,GLEES Brooklyn Tower,-106.2397,41.36579,3191,0.80,1200,ENF,1999-2006,1999-2006,http://sites.fluxdata.org/US-GBT/
US-GLE,GLEES,-106.2399,41.36653,3197,0.80,1200,ENF,2004-2014,2004-2014,http://sites.fluxdata.org/US-GLE/
US-Goo,Goodwin Creek,-89.8735,34.2547,87,15.89,1425.77,GRA,,2002-2006,http://sites.fluxdata.org/US-Goo/
US-Ha1,Harvard Forest EMS Tower (HFR1),-72.1715,42.5378,340,6.62,1071,DBF,1991-2012,1991-2012,http://sites.fluxdata.org/US-Ha1/
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),-88.2410300,41.8406200,226.5,9.04,930.25,GRA,,2004-2011,http://sites.fluxdata.org/US-IB2/
US-Ivo,Ivotuk,-155.7503,68.4865,568.00,-8.28,304,WET,,2004-2007,http://sites.fluxdata.org/US-Ivo/
US-KS1,Kennedy Space Center (slash pine),-80.6709,28.4583,1.00,21.90,1266,ENF,,2002-2002,http://sites.fluxdata.org/US-KS1/
US-KS2,Kennedy Space Center (scrub oak),-80.6715,28.6086,3.00,21.66,1294,CSH,2003-2006,2003-2006,http://sites.fluxdata.org/US-KS2/
US-Lin,Lindcove Orange Orchard,-119.84230,36.35660,131,,,CRO,,2009-2010,http://sites.fluxdata.org/US-Lin/
US-Los,Lost Creek,-89.9792,46.0827,480.00,4.08,828,WET,2000-2014,2000-2014,http://sites.fluxdata.org/US-Los/
US-LWW,Little Washita Watershed,-97.9789,34.9604,365,16.09,805.12,GRA,,1997-1998,http://sites.fluxdata.org/US-LWW/
US-Me1,Metolius - Eyerly burn,-121.5000,44.5794,896,7.88,704.61,ENF,2004-2005,2004-2005,http://sites.fluxdata.org/US-Me1/
US-Me2,Metolius mature ponderosa pine,-121.5574,44.4523,1253,6.28,523,ENF,2002-2014,2002-2014,http://sites.fluxdata.org/US-Me2/
US-Me3,Metolius-second young aged pine,-121.6078,44.3154,1005,7.07,719,ENF,,2004-2009,http://sites.fluxdata.org/US-Me3/
US-Me4,Metolius-old aged ponderosa pine,-121.6224,44.4992,922,7.61,1038.82,ENF,,1996-2000,http://sites.fluxdata.org/US-Me4/
US-Me5,Metolius-first young aged pine,-121.5667600,44.4371900,1188,6.47,590.81,ENF,,2000-2002,http://sites.fluxdata.org/US-Me5/
US-Me6,Metolius Young Pine Burn,-121.6078,44.3232842,998,7.5949137931,494.34068966,ENF,2010-2014,2010-2014,http://sites.fluxdata.org/US-Me6/
US-MMS,Morgan Monroe State Forest,-86.4131,39.3232,275,10.85,1032,DBF,1999-2014,1999-2014,http://sites.fluxdata.org/US-MMS/
US-Myb,Mayberry Wetland,-121.76498,38.049861,-4,15.9,338,WET,2010-2014,2010-2014,http://sites.fluxdata.org/US-Myb/
US-Ne1,Mead - irrigated continuous maize site,-96.4766400,41.1650600,361,10.07,790.37,CRO,2001-2013,2001-2013,http://sites.fluxdata.org/US-Ne1/
US-Ne2,Mead - irrigated maize-soybean rotation site,-96.4701,41.1648700,362,10.08,788.89,CRO,2001-2013,2001-2013,http://sites.fluxdata.org/US-Ne2/
US-Ne3,Mead - rainfed maize-soybean rotation site,-96.4396500,41.1796700,363,10.11,783.68,CRO,2001-2013,2001-2013,http://sites.fluxdata.org/US-Ne3/
US-NR1,Niwot Ridge Forest (LTER NWT1),-105.5464,40.0329,3050,1.5,800,ENF,1998-2014,1998-2014,http://sites.fluxdata.org/US-NR1/
US-Oho,Oak Openings,-83.8438,41.5545,230,10.1,849,DBF,,2004-2013,http://sites.fluxdata.org/US-Oho/
US-ORv,Olentangy River Wetland Research Park,-83.0183,40.0201,221,11.63,1499.1,WET,2011-2011,2011-2011,http://sites.fluxdata.org/US-ORv/
US-PFa,Park Falls/WLEF,-90.2723,45.9459,470.00,4.33,823,MF,1995-2014,1995-2014,http://sites.fluxdata.org/US-PFa/
US-Prr,Poker Flat Research Range Black Spruce Forest,-147.48756,65.12367,210,-2,275,ENF,2010-2013,2010-2014,http://sites.fluxdata.org/US-Prr/
US-SRC,Santa Rita Creosote,-110.8395,31.9083,950,22,330,MF,,2008-2014,http://sites.fluxdata.org/US-SRC/
US-SRG,Santa Rita Grassland,-110.827675,31.789379,1291,17,420,GRA,2008-2014,2008-2014,http://sites.fluxdata.org/US-SRG/
US-SRM,Santa Rita Mesquite,-110.8661,31.8214,1120,17.92,380,WSA,2004-2014,2004-2014,http://sites.fluxdata.org/US-SRM/
US-Sta,Saratoga,-106.8024,41.3966,2069,5.1,,OSH,,2005-2009,http://sites.fluxdata.org/US-Sta/
US-Syv,Sylvania Wilderness Area,-89.3477,46.2420,540.00,3.81,826,MF,2001-2014,2001-2014,http://sites.fluxdata.org/US-Syv/
US-Ton,Tonzi Ranch,-120.96598,38.4316,177,15.8,559,WSA,2001-2014,2001-2014,http://sites.fluxdata.org/US-Ton/
US-Tw1,Twitchell Wetland West Pond,-121.6469,38.1074,-9,15.5,421,WET,2012-2014,2012-2014,http://sites.fluxdata.org/US-Tw1/
US-Tw2,Twitchell Corn,-121.6433,38.1047,-5,15.5,421,CRO,2012-2013,2012-2013,http://sites.fluxdata.org/US-Tw2/
US-Tw3,Twitchell Alfalfa,-121.6467,38.1159,-9,15.6,421,CRO,2013-2014,2013-2014,http://sites.fluxdata.org/US-Tw3/
